pid,blk,brcv,type
167067,JS-7600,TP-2300,PUNT
168057,JB-4100,,FG
168308,EF-0100,,PUNT
169263,OU-0100,DT-2000,PUNT
169308,OU-0100,,PUNT
170441,RB-3000,,FG
170570,RS-0900,SM-2500,FG
171552,SB-2000,,FG
172244,SR-1000,BW-0200,FG
175772,JS-0200,,FG
179162,SG-0700,MM-3700,PUNT
183545,ND-0400,,FG
186001,GH-0800,,PUNT
190596,NA-0200,AG-0600,PUNT
190957,AP-0500,JW-1900,PUNT
191181,TJ-0700,WH-0200,PUNT
192791,RM-3000,,FG
194531,MC-2300,,FG
195865,OR-0200,,FG
196675,LW-0100,,XP
197844,SR-1000,,XP
198230,EJ-0400,,FG
198350,JP-2000,,FG
198387,DW-2400,DW-2400,FG
198701,RS-2800,RG-0300,FG
199371,JK-0300,HD-0400,PUNT
199994,MP-1700,,XP
200071,LW-0100,,FG
200980,MR-0400,RM-4900,FG
202468,WH-0200,JM-1700,PUNT
205956,KL-0700,,PUNT
206424,JP-2300,JP-2400,PUNT
207576,GE-0200,,XP
207946,LT-0900,VH-0500,FG
208342,LW-0100,,FG
209457,AA-2000,RM-1300,FG
210336,KH-0400,MR-1900,PUNT
211435,TB-3500,,FG
212570,DW-3800,MJ-0800,PUNT
213055,SR-1000,GA-0300,FG
215276,LW-0100,,XP
215333,RW-2300,TB-2600,PUNT
216223,JB-7200,CB-0300,FG
218101,AB-2200,,XP
218682,CJ-0900,,XP
219822,RR-0300,WD-0500,PUNT
219924,LW-0100,,FG
223152,RM-1300,,FG
223333,EH-0700,DM-1000,FG
224417,CT-0600,AD-1700,FG
224796,CJ-0900,,XP
225839,TP-2300,AW-1600,FG
225876,CC-2600,KB-2600,PUNT
226931,DW-4100,AA-2000,PUNT
227635,AB-2200,,FG
227790,JT-3800,,FG
228070,BB-3600,,FG
228122,SR-1000,,FG
228454,MB-2700,DW-3800,FG
231147,QM-0200,MW-0700,FG
231375,TJ-0500,EC-0400,FG
233455,DW-0100,BC-1000,PUNT
234232,AS-2400,,XP
234677,CJ-0900,,FG
237597,DD-2700,,FG
238389,OR-0200,LB-0600,FG
239962,DT-2000,BJ-0600,PUNT
245436,DH-4100,,FG
246007,KL-0700,CS-2700,PUNT
248773,TW-2200,,FG
248837,JD-1775,BS-0400,FG
250547,KV-0700,IT-0100,FG
250908,AM-1600,,FG
251141,AO-0200,RS-2800,FG
251997,JP-2000,,FG
253252,MB-3100,MM-0800,FG
