pid,type,bc,psr,trg,conv
70658,PASS,,AV-0200,EM-1800,0
71619,PASS,,,,0
72287,PASS,,BJ-1400,MA-0600,1
74036,PASS,,VT-0200,CM-0600,0
74051,PASS,,VT-0200,WC-0100,0
74421,PASS,,SM-2400,KD-1900,0
74503,PASS,,SM-2400,DM-0500,1
74816,PASS,,,,0
75769,PASS,,,,0
76166,PASS,,JK-0200,KM-0300,0
77123,RUSH,SK-0400,,,1
77433,RUSH,KM-1100,,,1
77632,PASS,,,,0
79299,RUSH,TB-0400,,,1
79432,PASS,,TD-1400,CF-0300,1
80325,PASS,,,,0
80409,PASS,,TD-1100,JS-6500,0
81057,RUSH,RD-0700,,,1
81538,PASS,,TG-1600,EK-0300,1
81964,PASS,,TB-0200,ZF-0100,0
82000,RUSH,SD-0400,,,1
82426,RUSH,CG-0400,,,1
82720,PASS,,BF-0100,DD-2600,0
82737,PASS,,JG-0600,TS-3400,1
83860,PASS,,KW-0500,EC-0400,0
84373,PASS,,VT-0200,AB-1100,1
84997,RUSH,JW-2500,,,0
85005,RUSH,TG-1600,,,0
85480,PASS,,MB-4500,JS-4400,1
86144,RUSH,SM-2400,,,0
86170,RUSH,EG-0200,,,1
87980,PASS,,DB-2600,JR-1200,0
89457,PASS,,JP-3200,FS-0100,1
89649,RUSH,AB-2900,,,1
89803,PASS,,,,0
90532,RUSH,KW-0200,,,0
90577,RUSH,AS-2500,,,1
91597,PASS,,BJ-1400,MA-0600,0
92230,RUSH,AB-2900,,,1
92274,RUSH,DM-0700,,,0
92877,PASS,,SM-2400,DM-0500,0
92896,PASS,,SM-2400,FW-1100,0
92911,RUSH,EG-0200,,,0
93041,PASS,,DM-2200,CL-0900,1
93765,RUSH,DC-4400,,,0
93921,RUSH,BG-1900,,,0
94802,PASS,,DB-3800,CC-4100,0
95040,PASS,,MB-4500,FT-0100,1
95121,RUSH,DS-3500,,,1
95230,PASS,,TB-2300,MV-0400,0
95361,PASS,,AB-2900,JP-1300,0
95456,PASS,,TM-0200,HW-0100,1
95529,PASS,,TG-1600,DH-0600,0
95538,RUSH,CM-0600,,,1
96055,RUSH,QM-0500,,,1
96103,RUSH,JW-2500,,,0
98128,RUSH,DM-0700,,,0
98204,PASS,,PR-0100,CD-1800,0
98558,PASS,,JG-0600,GH-0900,1
100055,RUSH,DM-0700,,,0
100061,RUSH,AB-2900,,,0
100734,PASS,,,,0
101008,PASS,,JB-3800,TH-1100,1
101839,PASS,,DC-0700,JG-0100,1
102314,PASS,,TB-2300,DP-0500,0
102442,PASS,,AB-2900,BW-1850,1
102643,PASS,,TC-2600,DN-1400,1
102966,RUSH,EJ-0200,,,1
102987,PASS,,PM-0200,QI-0100,0
103140,PASS,,DM-2200,CL-0900,1
104401,PASS,,PM-0200,MH-1200,1
106080,RUSH,KF-0200,,,0
106094,PASS,,TB-2300,TB-3300,1
106504,RUSH,TR-0900,,,0
106612,PASS,,KC-2000,MR-1000,1
106905,PASS,,TM-0200,HW-0100,1
107674,PASS,,RG-0200,JP-3400,1
108193,PASS,,CP-0900,LC-0800,1
108833,PASS,,RL-1400,RW-2600,0
110047,PASS,,KS-2300,DK-1100,1
110061,PASS,,AR-0200,HW-0100,1
110538,PASS,,JP-3200,JM-2100,0
111361,PASS,,DC-0700,JA-0800,1
111851,PASS,,,,0
112335,RUSH,TG-1600,,,1
112367,RUSH,MH-1600,,,1
112475,PASS,,BJ-1400,KJ-0700,1
113681,PASS,,JB-3800,RH-3500,0
114009,PASS,,JM-4500,SP-1800,0
114148,RUSH,JM-6800,,,0
114325,PASS,,MB-4500,JS-4400,0
114799,PASS,,KC-2000,JS-2700,0
114842,RUSH,SM-2400,,,1
115452,RUSH,DM-0700,,,0
115557,PASS,,BJ-1400,KJ-0700,1
116082,RUSH,CT-0100,,,1
116243,RUSH,NG-0300,,,1
118013,PASS,,PR-0100,CD-1800,1
118225,RUSH,BF-0100,,,0
118394,PASS,,HB-0400,MB-2800,0
118970,PASS,,JK-1500,CD-1500,0
119002,RUSH,FT-0100,,,1
119852,PASS,,RG-0200,JP-3400,1
120037,PASS,,AB-2900,JH-5200,1
120055,RUSH,DC-4400,,,1
120679,RUSH,JG-0600,,,1
121621,PASS,,MM-2800,BS-1100,1
122444,RUSH,JM-6800,,,0
122465,PASS,,PM-0200,MP-1500,1
122756,PASS,,DB-3800,RC-0100,0
122944,PASS,,SB-0700,SS-1200,0
124099,RUSH,CD-1500,,,0
124570,PASS,,MM-2800,AC-1100,0
124604,PASS,,MM-2800,ED-0900,0
125079,PASS,,TB-2300,CF-0300,1
125555,RUSH,AZ-0100,,,0
125566,PASS,,TM-0200,PB-1000,1
125723,PASS,,DB-3800,RC-0100,1
126698,PASS,,KH-2100,QM-0500,0
126739,PASS,,AR-0200,JT-4300,1
126868,PASS,,JG-0600,TO-0200,1
126877,PASS,,JG-0600,TO-0200,1
126916,PASS,,JG-0600,TO-0200,0
127224,PASS,,HW-0100,PB-1000,1
128083,PASS,,,,0
128091,PASS,,RG-0200,TB-2900,0
128113,PASS,,RG-0200,JP-3400,0
128566,PASS,,JD-1400,RP-1900,0
128570,RUSH,MB-4500,,,0
128592,RUSH,NG-0300,,,0
129345,PASS,,BF-0100,BF-1100,1
129662,RUSH,SM-0100,,,0
129684,PASS,,JF-1400,TM-2800,0
130040,PASS,,KB-1300,TH-1100,1
133426,RUSH,TB-0400,,,1
134909,PASS,,,,0
135388,PASS,,PR-0100,DM-0900,1
136012,PASS,,DB-2600,EM-1800,0
137426,PASS,,JB-3800,BJ-1800,0
137790,PASS,,TB-1900,JF-1100,1
138079,PASS,,GF-0400,OS-0700,1
138139,PASS,,,,0
138420,PASS,,TS-0500,AW-0300,0
138631,RUSH,KS-2300,,,1
139447,PASS,,SM-2400,TC-0100,1
139807,PASS,,PR-0100,LC-0800,0
140469,RUSH,JB-3800,,,1
140930,RUSH,JB-3400,,,1
143186,PASS,,KB-1300,TH-1100,1
143219,PASS,,KB-1300,TH-1100,1
143708,PASS,,VT-0200,AB-1100,0
144495,RUSH,CC-1400,,,1
144857,PASS,,JG-0600,JW-1200,0
145286,PASS,,JH-1700,AH-0200,1
145334,PASS,,JH-1700,SA-0800,1
145963,PASS,,KC-2000,IH-0100,0
146607,RUSH,AH-1450,,,0
147552,PASS,,KB-1300,TH-1100,1
147878,PASS,,PR-0100,DM-0900,1
148458,RUSH,KC-2000,,,1
150610,PASS,,CP-0900,SM-3600,0
150644,PASS,,CP-0900,AB-1100,1
150830,PASS,,,,0
151372,PASS,,KB-1300,MR-1400,0
151723,RUSH,KW-2400,,,0
152274,PASS,,,,0
152596,PASS,,DF-1300,SA-0700,1
153265,PASS,,DC-4400,HG-0200,1
154920,RUSH,DR-1300,,,0
154945,PASS,,PM-0200,JM-6800,1
156442,PASS,,AB-2900,BW-1850,0
157572,PASS,,DM-2200,CL-0900,0
158411,RUSH,CP-2100,,,1
160028,PASS,,TG-1600,DH-0600,0
160329,PASS,,BF-0100,BF-1100,1
161792,RUSH,SM-2400,,,1
161820,PASS,,SM-2400,DM-0500,0
162093,PASS,,TC-2600,QM-0500,0
163550,RUSH,CT-0100,,,0
163720,PASS,,DB-3800,DB-3100,1
164197,RUSH,RH-2600,,,1
164261,PASS,,DB-2600,BS-1700,0
164873,PASS,,TG-1600,EK-0300,0
165034,PASS,,CP-0900,KL-1100,0
165212,PASS,,BJ-1400,KW-1100,1
165222,PASS,,BJ-1400,CL-0600,0
166472,PASS,,JG-0600,BL-1200,1
167920,PASS,,JM-2900,ES-1000,0
167929,RUSH,JM-2900,,,0
168221,PASS,,TC-2600,DN-1400,0
169007,PASS,,CP-0900,AB-1100,0
170799,PASS,,MB-4800,DL-1900,1
171626,PASS,,JD-1400,MM-5500,0
171642,PASS,,JD-1400,KD-1900,0
171656,RUSH,KF-0200,,,1
173413,PASS,,RG-0200,AW-1000,1
173591,PASS,,TR-0100,BL-1200,0
173710,RUSH,MF-0300,,,1
174348,PASS,,JM-2900,ES-1000,0
174688,PASS,,BR-1100,PB-1000,0
174984,PASS,,DC-0700,JG-0100,0
177080,PASS,,KB-1300,RH-3500,0
177406,PASS,,JH-1700,TS-3400,0
177726,RUSH,JW-1900,,,1
178075,PASS,,RG-2300,JG-0200,0
178549,PASS,,AB-2900,BW-1850,0
178580,PASS,,MB-4800,KC-2700,1
178726,PASS,,SM-2400,DM-0500,0
178743,PASS,,BL-0600,RW-2400,1
178878,PASS,,BJ-1400,KD-1000,0
178905,PASS,,BJ-1400,KD-1000,1
179066,PASS,,MB-4500,TJ-0700,1
179715,RUSH,TJ-2700,,,0
180329,PASS,,BL-0600,BJ-2300,1
181107,PASS,,TR-0100,CC-4100,0
181147,PASS,,TR-0100,CC-4100,1
183045,PASS,,TR-0100,AW-0200,0
183108,RUSH,TR-0100,,,1
183122,PASS,,TR-0100,BL-1200,1
184717,PASS,,BL-0600,RW-2400,1
184853,PASS,,MH-1600,JS-6400,1
185009,RUSH,LJ-1500,,,0
185025,PASS,,CP-0900,AB-1100,0
185352,PASS,,JD-1400,KC-1500,1
186819,PASS,,BL-0600,EW-0800,1
187909,PASS,,BG-1900,WH-0500,0
189089,PASS,,DC-4400,NB-0800,0
189229,PASS,,DM-2200,LS-1000,0
190076,PASS,,BF-0100,RF-0300,1
191040,PASS,,DC-0700,DA-1600,0
191405,PASS,,AF-0300,RM-3100,1
191570,RUSH,CK-1000,,,1
192193,RUSH,MF-0300,,,1
192542,PASS,,KB-1300,CM-2700,1
192639,RUSH,DC-4400,,,1
194830,RUSH,WM-0300,,,0
196157,RUSH,SM-2400,,,1
196289,PASS,,DC-4400,NB-0800,1
197625,PASS,,TG-1600,EK-0300,0
198245,PASS,,AB-2900,JH-5200,1
198908,PASS,,TG-1600,EK-0300,1
199224,RUSH,CD-1500,,,1
199902,PASS,,MH-1600,JU-0200,0
200051,PASS,,KC-2000,JP-3400,0
200063,PASS,,KC-2000,DJ-2100,0
200712,PASS,,LM-0800,SH-0600,1
200805,PASS,,JN-0500,LF-0200,0
201245,PASS,,AF-0300,CC-1300,1
201550,PASS,,CP-0900,WC-0100,0
202757,RUSH,PC-0900,,,0
202848,PASS,,MH-1600,DJ-0100,1
203036,RUSH,JM-2900,,,1
205866,PASS,,,,0
