pid,psr,ints,iry
12378,SM-2400,DW-3400,36
12529,CB-0900,LB-1800,22
12542,BF-0100,LC-0100,42
12616,BF-0100,TF-0100,0
12627,BF-0100,KS-0300,19
12729,JF-1400,KI-0100,0
12781,DF-1300,JW-5000,19
12913,PM-0200,TL-0500,0
12934,PM-0200,TJ-2500,20
12945,PM-0200,AH-1425,11
12993,RL-1400,DW-1400,31
13102,RL-1400,BA-0300,9
13163,DM-2200,SS-1000,15
13236,BJ-1400,DM-2900,4
13268,DM-2200,DG-2500,33
13280,JH-1100,BJ-1000,17
13379,JH-1100,TB-3700,31
13425,JH-1100,TB-3700,33
13599,RG-0200,PP-1100,13
13789,MB-4500,RW-4100,18
13795,MB-4500,KH-1700,25
13828,JM-1100,CM-1200,44
13901,DC-4400,DR-2100,0
14076,JP-3200,BT-0500,31
14140,JP-3200,TV-0200,17
14148,JH-1100,SC-1600,2
14213,RJ-1200,RH-1100,0
14331,JH-1100,HJ-0100,0
14421,TC-2600,BJ-1000,2
14477,TC-2600,BJ-1000,36
14486,TC-2600,RC-2600,5
14857,DB-2600,VG-0200,21
14966,DB-2600,VG-0200,36
14988,DB-2600,ML-1800,23
15009,MB-2500,AG-0800,0
15061,SB-0700,KM-0500,0
15179,TA-0300,JS-1700,0
15220,TA-0300,SW-1500,12
15228,TA-0300,DT-0700,0
15256,TA-0300,RS-2900,0
15300,TA-0300,MB-0700,7
15463,SM-2700,DW-1400,30
15518,SM-2700,BA-0300,15
15663,BH-2100,CC-4500,0
15727,CC-1400,DM-1000,0
15810,KW-0500,RB-4600,3
15925,TB-0200,KM-2300,0
15937,BJ-1400,DS-4000,6
16390,SK-0400,BW-1100,16
16440,SK-0400,CC-1800,1
16469,SK-0400,BW-1100,0
16522,JB-3800,RB-2700,13
16702,TB-0200,RG-1200,24
16708,TB-0200,RG-1200,1
16732,TB-0200,DS-2100,0
16747,SM-2400,KH-1700,19
16750,TD-1400,MB-2900,2
16829,JG-0600,MM-3400,30
17053,BG-1900,CC-0800,6
17137,JP-3200,PS-0700,43
17187,JP-3200,CW-2500,0
17213,JP-3200,DW-4600,0
17430,MB-4500,DS-0400,21
17542,BJ-1400,ML-2300,0
17550,MB-4500,MS-4700,0
17593,KW-0500,JH-2600,10
17615,KW-0500,JB-7200,0
17711,TG-1600,GW-0600,28
17884,DC-4400,SR-0900,10
17971,BH-2100,EA-0400,0
18049,RG-0200,WW-0700,0
18189,JM-4500,BD-0700,30
18247,DM-2200,TP-0400,7
18298,DP-0800,LK-0500,1
18333,DP-0800,CS-1100,3
18367,DP-0800,BA-0300,7
18466,VT-0200,SM-0200,0
18497,VT-0200,PS-1000,0
18532,VT-0200,BW-0300,12
18539,JF-1400,MC-2100,0
18624,JF-1400,MC-2100,7
18629,JF-1400,MC-2100,0
18725,JP-3200,SK-0500,0
18739,JP-3200,KM-2200,40
18782,JB-3800,CC-1500,0
18839,CC-1400,SG-0600,0
18872,SB-0700,AA-1200,42
18892,CC-1400,MM-3400,8
18940,SB-0700,RB-4600,13
18958,SB-0700,RB-4600,0
19056,TD-1400,DW-1400,0
19144,VT-0200,KC-0300,22
19158,VT-0200,HJ-0100,45
19307,AS-1400,WR-0200,5
19404,SW-2400,TC-0800,30
19461,RC-2800,DD-0100,21
19669,PM-0200,BW-1100,9
19704,CB-0900,TP-1900,1
19709,PM-0200,RR-0500,7
19736,CB-0900,DM-0100,0
19891,BF-0100,BM-0200,24
20038,DM-2200,EM-0900,1
20083,TG-1600,JW-1600,8
20272,JK-1500,GW-0600,0
20302,EG-0600,JB-2900,32
20337,JK-1500,JH-2600,0
20350,EG-0600,JB-2900,0
20367,EG-0600,AS-1000,7
20414,JK-1500,PD-0400,0
20481,DC-4400,DB-4200,34
20555,DC-4400,DA-0100,5
20714,RG-0200,JS-1500,0
20738,JH-1100,MP-1600,0
20815,BJ-1400,SR-1100,81
20882,BJ-1400,SR-1100,0
20889,BJ-1400,DS-2100,0
20901,JG-1000,AW-1300,26
20973,JG-1000,ZW-0100,0
21016,JP-3200,DS-0400,32
21061,CC-1400,DA-0100,23
21076,CC-1400,DA-0100,22
21088,SK-0400,RB-4600,60
21128,DK-0200,DR-2100,0
21181,DK-0200,JD-3100,-1
21287,PM-0200,WH-0200,35
21650,DP-0800,EM-0900,6
21828,SC-0200,AD-1000,15
21867,DB-2600,KI-0100,1
21924,JF-3200,JH-4600,0
22015,JG-0600,SK-0500,0
22156,JG-0600,FW-0500,0
22219,VT-0200,KK-0400,0
22246,BG-1900,JF-0500,0
22247,VT-0200,EB-1700,0
22367,EG-0600,CW-3700,23
22409,EG-0600,JT-0700,24
22574,RC-2800,BD-0700,0
22577,DM-2200,DW-4600,12
22704,DM-2200,BW-2800,1
22739,JH-1100,AS-1000,8
22806,JK-1500,RH-1100,0
22895,KS-2300,SR-1100,2
22901,SM-2400,JP-3600,0
23116,SB-0700,DM-1000,0
23227,DC-4400,DS-1600,4
23237,DC-4400,DS-1600,18
23261,DC-4400,MM-2700,26
23339,MB-2100,TW-2900,0
23444,DF-1300,WH-0200,0
23449,SM-0900,KC-0300,19
23469,SM-0900,KC-0300,12
23498,SM-0900,DP-1900,0
23541,SB-0700,DH-4100,0
23566,JB-3800,ED-0100,0
23645,SB-0700,DP-1200,0
23698,DB-2600,DH-3600,0
23965,AS-1400,DN-0800,7
24048,CB-0900,EW-1050,1
24146,DK-0200,CB-4100,12
24158,DK-0200,BW-1100,0
24362,DC-4400,AW-1300,13
24541,KC-2000,DM-1000,2
24567,TG-1600,RP-1000,10
24589,KC-2000,LF-0300,12
24677,KS-2300,BT-0500,38
24901,MM-5000,BW-0300,31
24913,MM-5000,SM-0200,22
24940,RL-0300,BW-0300,7
25010,JH-1100,PS-1000,0
25057,EG-0600,ZB-0300,23
25258,SK-0400,AE-0400,4
25469,TD-1400,PP-0500,87
25515,VT-0200,JB-7900,11
25537,VT-0200,MW-0800,1
25658,RG-0200,RC-2600,0
25707,RG-0200,BR-1300,-3
25726,BG-1900,WT-0100,1
25891,TA-0300,RW-4100,0
25904,TD-1400,PS-0700,16
25908,TA-0300,CH-1800,42
25940,TD-1400,PS-0700,0
25973,TA-0300,RL-0600,0
26048,SK-0400,TP-0400,38
26082,SM-0900,DR-2100,0
26117,SK-0400,BU-0200,19
26136,RL-0300,BR-1300,3
26188,GF-0400,RB-1700,7
26203,GF-0400,ST-1300,75
26254,GF-0400,FB-0700,0
26275,GF-0400,DJ-0800,16
26384,PM-0200,TM-1100,0
26448,BF-0100,EJ-0700,-1
26648,EG-0600,KC-0300,2
26699,VT-0200,BW-0300,0
26706,DH-4300,CH-2200,0
26772,VT-0200,TS-1300,0
26785,DH-4300,TS-0800,0
26792,DH-4300,SE-0400,1
26875,SB-0700,RT-0200,0
26962,SB-0700,KW-2400,14
27077,DB-2600,RB-1600,0
27095,SM-2700,LM-1300,2
27192,AB-2900,CW-3700,0
27334,KC-2000,KS-0300,14
27457,CB-0900,SW-1500,0
27511,DM-2200,RF-1300,8
27620,DB-4500,MC-0100,26
27742,CC-1400,JW-1600,70
27826,SM-2400,JM-4400,0
27844,SM-2400,LC-0500,0
27845,DP-0800,SR-1100,17
27873,SM-2400,PE-0200,33
27995,KS-2300,KH-0500,0
28085,MB-4500,CS-1100,8
28116,KS-2300,DD-0100,5
28134,JG-1000,DM-1000,23
28260,TG-1600,CB-0100,48
28412,TA-0300,RG-2000,25
28554,DB-2600,MW-0300,10
28574,DB-2600,BW-1100,101
28666,DP-0800,CM-1200,14
28667,TD-1400,MM-4600,3
29057,PM-0200,BM-0200,25
29120,MB-4500,SR-1100,-6
29173,MB-4500,SR-1100,5
29321,VT-0200,MW-1100,21
29396,CC-1400,EA-0400,15
29628,RL-0300,MP-0600,24
29648,RL-0300,JH-2600,5
29652,WM-0900,JS-1500,2
29826,JK-1500,EB-1700,9
29835,GF-0400,SS-2600,8
29860,GF-0400,WW-0700,0
29862,JK-1500,JS-5300,21
29902,AB-2900,LF-0300,6
30032,AB-2900,LF-0300,11
30066,TG-1600,CO-0800,0
30319,DM-2200,CB-0100,0
30577,DB-4500,RS-2900,4
30651,SB-0700,TW-2900,46
30673,BF-0100,JH-4400,28
30723,BF-0100,ED-0100,8
30753,BF-0100,HN-0200,0
30800,SC-0200,KW-2400,14
30855,DC-4400,CB-4100,0
30866,DC-4400,AA-0500,4
30927,DJ-1800,GK-0100,27
31006,DJ-1800,CK-0500,14
31085,RJ-1200,PS-1000,0
31122,RJ-1200,SM-0200,20
31195,DF-1300,BW-0300,29
31250,SB-0700,LF-0300,4
31255,KW-0500,JH-4400,0
31268,SB-0700,TL-1300,21
31315,KW-0500,JH-4400,88
31321,KW-0500,ED-0100,3
31339,KW-0500,DE-1200,0
31428,SM-2700,AW-1300,7
31518,JP-3200,TC-0800,10
31850,AB-2900,JS-5300,2
31859,AB-2900,EB-1700,0
31951,PM-0200,VG-0200,43
32009,VT-0200,DM-0100,35
32037,PM-0200,NF-0200,20
32261,KG-0800,EA-0400,27
32528,RL-0300,MM-4400,17
32537,RL-0300,ZB-0300,9
32549,RL-0300,MM-4400,46
32552,RL-0300,ZB-0300,43
32586,TA-0300,BK-0600,9
32787,KC-2000,DS-0400,6
32790,BJ-1400,SG-0300,4
32819,BJ-1400,EM-0900,17
32976,SM-0900,TW-2900,38
33011,SM-0900,DS-1600,4
33146,EG-0600,OS-0800,56
33244,TD-1400,RH-1100,0
33277,RL-0300,CM-1200,9
33279,TD-1400,RH-1100,19
33619,KJ-0600,BD-0700,32
33627,DP-0800,TV-0200,0
33687,DP-0800,BT-0500,1
33762,JG-1000,RM-3300,0
33855,GF-0400,JB-2900,16
33872,JK-1500,AW-1600,20
33897,JK-1500,JS-5300,79
33992,JK-1500,BJ-1000,0
34051,CB-0900,TM-1100,43
34079,BF-0100,DW-0300,5
34109,CB-0900,DS-1600,0
34126,CB-0900,AE-0400,0
34187,DB-4500,BB-2500,12
34324,EG-0600,DE-1200,17
34333,EG-0600,ER-0400,0
34420,SB-0700,JW-6300,0
34503,SK-0400,BW-0300,0
34504,JF-1400,JD-3100,31
34537,JF-1400,SQ-0100,5
34591,JF-1400,DA-0100,0
34615,JF-1400,DR-2100,0
34740,KS-2300,RS-2900,0
34791,JG-0600,DP-1200,0
34930,JG-0600,DP-1200,3
35306,VT-0200,WT-0100,3
35311,VT-0200,EA-0400,50
35369,RG-0200,AG-0800,34
35375,RL-1400,WT-0100,3
35404,RL-1400,EA-0400,16
35527,RJ-1200,JB-7900,0
35565,RJ-1200,MM-5600,40
35651,JG-1000,DW-1400,0
35668,JG-1000,CS-1100,0
35762,RG-0200,MB-1400,30
35864,JK-1500,CW-3700,0
35873,RG-0200,IK-0100,0
35920,RG-0200,WW-0700,5
35987,JP-3200,DS-4000,30
35990,TD-1400,PT-0500,3
36027,JP-3200,JS-1900,45
36334,JL-1500,GD-0300,36
36409,RL-0300,LW-1500,0
36559,SM-2700,ML-2300,14
36720,SM-2400,CF-1500,0
37060,JF-1400,JB-7900,0
37199,DC-4400,DS-1600,47
37269,DJ-1800,SK-0500,31
37323,CC-1400,AM-2400,0
37399,CB-0900,VG-0200,27
37502,VT-0200,SB-1000,0
37668,CM-2200,MM-4400,5
37771,KC-2000,PS-0700,0
37821,AW-2100,EM-0900,4
37846,KW-0500,RB-0700,9
37856,SK-0400,DM-1000,0
37933,KW-0500,DR-2100,0
37971,SK-0400,DM-1000,0
38002,KW-0500,JL-3400,2
38169,JG-0600,TB-3700,0
38266,KC-2000,TB-2200,7
38317,MB-4500,RP-1000,12
38500,JK-1500,EF-0100,0
38667,TD-1400,MC-2100,-1
38699,TD-1400,AG-0800,0
38711,VT-0200,DS-4000,21
38721,VT-0200,DS-4000,64
38746,VT-0200,CM-1200,98
38974,SC-0200,RM-3400,61
39153,BF-0100,JL-3400,5
39174,BF-0100,JD-3100,15
39255,PM-0200,RT-0200,12
39338,BB-2800,MP-1000,3
39406,DB-2600,JT-0900,2
39501,DB-2600,ZT-0100,0
39523,AB-2900,DB-2800,0
39561,KW-0500,DS-2600,41
39768,SB-0700,EA-0400,37
39893,DM-2200,CH-0500,12
39975,SM-2700,CE-0500,0
40015,KS-2300,RH-1100,63
40107,RL-0300,NC-0400,14
40110,KS-2300,RH-1100,15
40223,JP-3200,MC-0500,30
40229,BJ-1400,AW-1300,48
40242,BJ-1400,AW-1300,8
40246,JP-3200,DG-2500,2
40279,JP-3200,CB-0100,0
40349,SM-2400,RM-3300,4
40371,AW-2100,DW-0600,0
40383,SM-2400,BW-2800,0
40426,AW-2100,KB-2400,8
40512,JF-1400,CC-4500,0
40520,JF-1400,CB-2800,4
40531,JF-1400,CC-4500,23
40696,AB-2900,DB-6000,6
40709,KW-0500,SK-0500,52
40729,KW-0500,CO-0800,8
40784,KW-0500,SK-0500,4
40820,GF-0400,RL-0600,4
41084,DM-2200,DA-0100,0
41245,AB-2900,RT-0200,1
41266,AB-2900,KW-2400,1
41295,JF-1400,TJ-0800,90
41418,JF-1400,TJ-0800,8
41443,JF-1400,EA-0400,0
41518,DM-2200,JS-1700,32
41742,SM-2400,RL-0600,50
41791,KC-2000,RT-0200,4
41795,DC-4400,EM-0900,0
41801,KC-2000,DM-3700,1
41872,DC-4400,SG-0300,13
41903,DC-4400,JS-1700,0
41947,RG-0200,RB-0200,0
41975,BH-2000,DS-4000,9
42005,TD-1400,JH-2000,2
42039,RG-0200,DS-4000,35
42072,BH-2000,JS-1900,15
42144,KC-2000,JS-1900,4
42172,KC-2000,CM-1200,4
42186,KC-2000,KH-1700,2
42201,KC-2000,DS-4000,49
42390,SM-0900,RL-0600,21
42403,SM-0900,JT-3200,15
42424,RJ-1200,SK-0500,21
42495,RJ-1200,SK-0500,19
42505,RJ-1200,SK-0500,0
42726,MH-1600,EL-0400,9
42818,TC-2600,RT-1200,5
42844,MH-1600,DM-1500,0
42896,QC-0100,DJ-0300,15
42899,BJ-1400,DW-4600,0
43003,QC-0100,JL-3400,4
43087,CB-0900,DS-1600,11
43149,CB-0900,DS-1600,59
43234,KS-2300,HN-0400,2
43306,KS-2300,DD-0100,39
43314,RG-0200,EW-0300,51
43485,TG-1600,CW-3700,34
43534,DC-4400,RA-1000,0
43560,DC-4400,JH-4400,0
43582,CW-1300,TS-0600,2
43609,DC-4400,DG-2400,0
43702,PM-0200,MJ-2200,18
43741,PM-0200,MC-2100,36
43867,DM-2200,DB-2800,1
43915,KW-0500,TV-0200,0
43958,KW-0500,DM-2900,0
44009,JG-1000,RM-3300,12
44035,JG-1000,AM-2400,0
44040,DF-1300,FS-0400,0
44057,DF-1300,CB-0100,5
44261,JG-0600,SD-0900,0
44369,SM-2400,SM-0200,0
44417,NO-0100,BW-0300,0
44425,NO-0100,ZT-0100,34
44694,CC-1400,DE-1200,27
44883,JM-4500,OT-0100,0
44999,EG-0600,BS-2000,5
45062,EG-0600,AH-2000,22
45071,EG-0600,TS-2900,66
45177,TD-1100,PE-0200,19
45183,TC-2600,RB-0200,0
45189,TD-1100,AH-2700,5
45196,TD-1100,AH-2700,53
45211,TC-2600,TF-0100,26
45220,TD-1100,JM-4400,0
45226,TD-1100,EL-0400,0
45257,TD-1100,CF-1500,1
45269,TD-1100,AH-2700,0
45313,AW-2100,RM-3300,-1
45384,AW-2100,TC-1800,0
45427,AW-2100,RM-3300,33
45443,PM-0200,NC-0200,48
45495,RJ-1200,CC-4500,12
45585,PM-0200,AW-1800,0
45788,KC-2000,RC-2600,8
45792,TG-1600,SW-1500,0
45827,KC-2000,EW-0300,0
45866,KC-2000,GC-0100,0
45983,JF-1400,DG-1000,9
46020,JF-1400,AD-1500,26
46122,DB-2600,AG-0800,0
46186,DB-2600,JF-0500,47
46255,JG-0600,MF-0400,30
46283,KW-0500,AP-1700,0
46593,JP-3200,DW-0600,20
46770,BF-0100,FS-0400,0
46774,JG-1000,NW-0200,18
46953,JP-3200,RB-4600,33
46964,JP-3200,DV-0200,0
46992,JP-3200,KB-2100,9
47142,AV-0200,CS-1100,62
47153,BF-0100,DE-1200,3
47189,BF-0100,DG-2400,8
47282,CW-1300,TW-2900,28
47301,EG-0600,CM-1800,17
47407,BG-1900,DS-4000,0
47463,BG-1900,CH-1800,1
47474,MB-4500,OR-0200,0
47491,TC-2600,AB-0900,0
47628,JQ-0100,DM-1500,32
47638,DC-4400,DB-4200,2
47752,DC-4400,RB-0700,12
47780,BJ-1400,EK-0200,2
47854,PM-0200,OS-0800,78
47875,PM-0200,RP-0800,14
47912,PM-0200,TL-0500,23
48078,AB-2900,SW-1500,5
48234,MH-1600,CC-4400,0
48329,JK-1500,RM-3300,8
48339,JK-1500,JS-1500,2
48454,JK-1500,RM-3300,0
48544,JF-1400,DB-2800,0
48603,JF-1400,LF-0300,0
48761,TB-0200,GW-0600,30
48888,AW-2100,AH-1000,14
49096,CC-1400,MB-4100,32
49145,CC-1400,BU-0200,10
49146,JM-4500,RB-4600,0
49147,CC-1400,TP-0400,26
49178,JM-4500,HC-0100,7
49369,MG-1600,RW-4100,0
49387,SM-2400,DS-4000,9
49408,RJ-1200,MJ-2200,9
49531,AV-0200,AG-0800,0
49759,TG-1600,DO-0200,0
49778,BG-1900,MP-0600,0
49848,TG-1600,DO-0200,0
49867,TG-1600,DO-0200,42
49890,TG-1600,DO-0200,27
49902,JF-1400,MV-0400,15
50074,DC-4400,JB-2900,0
50124,AB-2900,EK-0200,-9
50289,KC-2000,SS-1000,0
50334,TB-0200,JS-1700,0
50346,KC-2000,IO-0100,12
50355,TB-0200,JS-1700,34
50534,DM-2200,KL-0500,25
50647,JP-3200,JT-3400,14
50730,JK-1500,CS-1100,26
50917,TD-1400,AB-1000,0
51017,BF-0100,DA-0100,13
51034,BF-0100,SQ-0100,98
51122,BF-0100,DJ-0300,0
51171,CW-1300,LS-0300,0
51226,JG-0600,DE-1200,39
51271,CW-1300,JW-1600,31
51300,CW-1300,AP-1700,0
51368,TD-1100,DB-2800,93
51398,CB-0900,DM-1000,0
51614,CC-1400,JW-1600,15
51679,CW-1300,CC-2400,3
51692,AB-2900,DE-1200,8
51873,JM-4500,DB-0900,7
51929,JM-4500,KL-0500,0
52208,EG-0600,MM-2700,0
52229,EG-0600,DS-1600,6
52394,TG-1600,CS-1100,61
52596,DC-4400,TL-1300,0
52955,JF-1400,MJ-2200,0
52961,JF-1400,VG-0200,0
53001,BG-1900,RT-1200,55
53084,BG-1900,SS-2600,0
53110,BG-1900,RT-1200,7
53216,KW-0500,SG-0300,5
53225,KC-2000,DM-1000,23
53295,KC-2000,GW-1700,-4
53325,SM-2400,DB-4200,10
53420,BJ-1400,AD-1700,0
53545,PM-0200,AD-1500,39
53654,PM-0200,TJ-0800,0
53713,AW-2100,FS-0400,36
53877,MB-4500,KI-0100,0
53949,MB-4500,TT-1400,0
54077,TG-1600,KL-0500,22
54117,TG-1600,CC-1500,0
54160,JK-1500,RM-3400,43
54303,EG-0600,DR-3500,0
54337,EG-0600,AH-2700,22
54449,SM-2400,RR-0500,1
54508,SM-2400,CC-1800,6
54553,CB-0900,RG-1200,5
54833,BF-0100,KW-2400,27
54945,AB-2900,DG-1800,7
54974,CC-1400,CO-0800,0
55154,VT-0200,AW-1300,42
55281,BG-1900,RM-3300,0
55334,DF-1300,EB-1700,0
55386,BG-1900,AF-0800,0
55428,KS-2300,RB-0700,0
55516,KS-2300,RB-0700,10
55525,BJ-1400,ML-2300,0
55596,CW-1300,DT-0400,0
55612,TB-0200,DE-1200,0
55620,CW-1300,KL-0100,14
55637,CW-1300,OL-0100,1
55683,CW-1300,LA-0600,67
55745,DM-2200,SW-1500,20
55894,TG-1600,CC-4500,9
56003,TG-1600,MP-1000,13
56032,TG-1600,IB-0100,0
56161,RC-2800,HN-0400,0
56286,VT-0200,DE-1200,49
56293,VT-0200,LT-0800,0
56326,VT-0200,MM-3400,30
56350,CW-1300,AG-0800,22
56428,JM-4500,AP-1700,0
56434,JG-0600,BU-0200,9
56473,SM-0900,ZB-0300,97
56545,JG-0600,MB-4100,33
56616,JP-3200,DH-2100,6
56648,JP-3200,DC-2400,10
56679,CS-4100,AW-1500,36
56733,DP-0500,EB-1700,0
56756,BG-1900,TB-3400,3
56773,BG-1900,MS-4700,9
56816,TB-2300,DW-0600,0
56829,TB-2300,DO-0200,0
56842,TB-2300,DW-0600,39
56848,TB-2300,DO-0200,31
56862,CB-0900,JS-4600,21
56906,JK-1500,RR-0500,8
56942,JK-1500,KS-0300,3
57005,CB-0900,DW-3400,16
57301,RJ-1200,JP-2100,37
57342,JF-1400,WW-0700,0
57363,JF-1400,WW-0700,0
57562,KW-0500,KM-0500,23
57592,KW-0500,SK-0500,13
57616,KW-0500,DH-4100,37
57627,KW-0500,SK-0500,21
57754,DC-4400,DJ-0300,0
57984,KC-2000,KL-1700,0
58040,SM-2400,BA-0300,0
58135,SM-2400,KC-1100,3
58222,DM-2200,KL-0500,0
58305,JP-3200,DM-2900,2
58362,CC-1400,OS-0800,17
58646,SM-0900,EL-0400,0
58666,SM-0900,BB-2500,8
58740,SM-0900,RJ-0300,0
58810,TC-2600,MB-4100,16
58850,BF-0100,DA-0100,46
58895,BF-0100,JD-3100,9
59017,CW-1300,PS-1000,29
59083,JF-1400,JW-4300,0
59165,KC-2000,DC-2400,29
59202,KC-2000,ME-0400,71
59223,CS-4100,WP-0200,0
59237,CS-4100,JS-1700,0
59244,CS-4100,DJ-2600,14
59266,CS-4100,BS-1800,21
59407,RC-2800,BA-0300,4
59475,DF-1300,JW-6300,25
59559,TG-1600,TC-1800,3
59652,JG-0600,RB-0200,74
59737,JG-0600,TL-1300,0
59858,MB-4500,SR-1100,0
59979,MH-1600,CB-0100,0
59987,MH-1600,DT-0400,0
60080,TB-0200,WW-0700,24
60095,TD-1400,SS-1000,9
60134,AB-2900,AG-0800,0
60144,VT-0200,JB-2900,0
60168,AB-2900,ML-1800,17
60394,BG-1900,WT-0100,33
60403,BG-1900,TJ-0800,0
60507,KC-2000,KL-0500,13
60567,JP-3200,WA-0200,0
60707,RL-0300,KB-2100,8
60729,BF-0100,MB-4100,0
61116,DF-1300,JM-5300,17
61181,DF-1300,GC-0700,0
61187,DF-1300,DO-0200,0
61197,DF-1300,JS-5300,7
61254,CB-0900,RB-0700,1
61332,CB-0900,RB-0700,1
61404,JF-1400,MP-1000,5
61416,PM-0200,SM-0200,0
