pid,kicker,kgro,knet,ktb,kr,kry
107235,JW-3300,59,37,0,RJ-0700,22
107246,WR-0500,76,56,1,,0
107291,JW-3300,16,16,0,,0
107304,JW-3300,68,16,0,RJ-0700,52
107313,JN-0600,67,46,0,JL-1600,21
107339,JN-0600,70,50,1,,0
107369,JN-0600,70,44,0,JL-1600,26
107383,KB-2300,64,46,0,JM-2200,18
107386,KB-2300,40,36,0,EK-0600,4
107395,JN-0600,64,46,0,JL-1600,18
107454,KB-2300,67,62,0,EB-0700,5
107464,OM-0100,63,52,0,CM-3100,11
107485,JH-0500,58,39,0,TM-2800,19
107510,OM-0100,61,44,0,CM-3100,17
107538,JH-0500,62,43,0,TM-2800,19
107559,OM-0100,63,47,0,CM-3100,16
107600,JH-0500,56,36,0,TM-2800,20
107609,MK-1100,60,60,0,,0
107620,SJ-0300,65,32,0,SM-2900,33
107633,SJ-0300,70,51,0,SM-2900,19
107647,SJ-0300,51,38,0,MR-0400,13
107665,MK-1100,64,50,0,MK-1000,14
107675,SJ-0300,70,50,1,,0
107681,SJ-0300,71,46,0,SM-2900,25
107704,SJ-0300,52,32,0,MR-0400,20
107719,MK-1100,64,42,0,MK-1000,22
107728,SJ-0300,74,49,0,SM-2900,25
107765,TG-1500,70,55,0,AR-1700,15
107815,JF-0900,65,39,0,ML-1700,26
107843,JF-0900,70,36,0,ML-1700,34
107862,JF-0900,66,45,0,ML-1700,21
107871,TG-1500,70,50,1,,0
107883,JF-0900,71,54,0,ML-1700,17
107891,TG-1500,70,50,1,,0
107909,JF-0900,67,54,0,ML-1700,13
107923,TG-1500,10,10,0,,0
107927,PD-0200,66,46,0,BB-1700,20
107932,NR-0100,52,36,0,AD-0400,16
107943,PD-0200,58,23,0,BB-1700,35
107963,PD-0200,57,38,0,BB-1700,19
107974,NR-0100,57,38,0,AD-0400,19
108010,PD-0200,42,35,0,NL-0600,7
108012,NR-0100,51,51,0,AD-0400,0
108026,NR-0100,61,35,0,FJ-0200,26
108040,PD-0200,56,39,0,BB-1700,17
108049,NR-0100,46,35,0,AD-0400,11
108063,PD-0200,59,-23,0,BB-1700,82
108087,JH-0500,71,47,0,ED-0900,24
108109,JH-0500,66,38,0,ED-0900,28
108123,JH-0500,66,48,0,ED-0900,18
108131,JH-0900,70,47,0,CM-3100,23
108162,JH-0900,47,32,0,CB-0300,15
108180,JH-0900,72,36,0,CM-3100,36
108194,JH-0500,63,43,0,ED-0900,20
108207,JH-0500,69,39,0,ED-0900,30
108223,JH-0500,66,26,0,ED-0900,40
108233,TS-1100,68,40,0,JL-1600,28
108264,TS-1100,65,20,0,JL-1600,45
108279,TS-1100,44,34,0,MN-0700,10
108295,KB-2300,17,17,0,,0
108311,TS-1100,32,32,0,,0
108313,KB-2300,62,37,0,EJ-1100,25
108321,TS-1100,37,28,0,CS-1200,9
108345,KB-2300,72,42,0,EJ-1100,30
108381,KB-2300,29,31,0,KL-1100,-2
108392,BC-3000,61,29,0,TW-0400,32
108447,BC-3000,62,39,0,TW-0400,23
108459,MV-0100,68,50,0,RS-3500,18
108469,MV-0100,67,44,0,RS-3500,23
108507,MV-0100,63,45,0,RS-3500,18
108528,MV-0100,66,48,0,RS-3500,18
108536,MV-0100,65,50,0,RS-3500,15
108545,MA-0700,62,43,0,CR-1500,19
108574,MA-0700,70,50,1,,0
108591,MH-3100,19,19,0,,0
108599,MH-3100,55,39,0,DH-0600,16
108606,MA-0700,57,55,0,CR-1500,2
108623,MH-3100,70,50,1,,0
108628,MH-3100,67,52,0,DH-0600,15
108657,MH-3100,60,30,0,,0
108685,MA-0700,63,26,0,CR-1500,37
108701,MS-5200,65,38,0,TM-2800,27
108730,OM-0100,59,42,0,LB-1000,17
108755,MS-5200,49,31,0,RK-0800,18
