pid,fum,frcv,fry,forc
447198,KW-2000,JM-1900,0,DF-1000
447209,RG-1300,JS-0300,0,
447223,PR-0300,RN-1100,63,
447278,PR-0300,PR-0300,0,
447348,DT-0900,LH-1900,0,SR-1300
447384,DT-0900,DT-0900,0,
447398,KO-0700,TB-2400,12,MM-3800
447412,ST-0600,DB-5100,0,
447417,ER-0500,ER-0500,0,MH-3700
447428,ED-0200,ED-0200,0,
447478,KB-1300,RC-0800,0,DW-2900
447508,BJ-0300,BJ-0300,0,CG-2400
447696,BJ-0600,BJ-0700,0,BJ-0700
447734,JW-6000,DG-2400,0,BC-1700
447783,EM-0200,DD-1400,0,DW-1100
447803,AB-2600,DW-1100,5,
447805,JK-1500,JT-3800,0,BC-1700
447926,DB-1800,MJ-1800,0,
448019,AG-1900,JK-1500,0,
448031,DG-0600,JR-0300,0,VB-0400
448252,BB-0600,BB-0600,0,
448253,DM-2200,DM-2200,0,
448284,NB-0800,LF-0300,-3,PB-0800
448338,RG-2300,NS-0800,17,KV-0100
448376,RF-0500,RF-0500,0,WG-0600
448406,CS-3400,CM-2000,0,DJ-1600
448478,LE-0300,,0,BF-0800
448644,SB-1100,SB-1100,0,
448648,SS-2100,CL-1400,0,CD-0200
448671,MM-4700,GW-1100,0,CL-1400
448736,BS-2400,TW-2700,5,FZ-0100
448760,LT-0600,LT-0600,0,TW-2700
448820,LT-0600,JC-5400,0,HG-0300
448915,ER-0500,ER-0500,0,
448949,TS-2600,TS-2600,0,
448989,KO-0700,TS-2900,8,ML-0500
449235,SS-3000,LS-1700,0,
449306,LB-0500,GH-0700,21,PL-0200
449350,DA-1300,LB-1400,0,SW-0900
449517,SS-0400,JC-0500,0,
449652,MH-1600,SA-1000,0,LH-1900
449777,ES-0200,IR-0100,0,
449809,DB-3800,LW-1600,0,BM-1300
449812,HM-0200,DS-1600,11,MM-3600
449961,JJ-3900,AF-0900,0,PA-0400
450001,MS-0200,EF-0200,0,DF-1900
450245,FJ-0100,BU-0200,0,LB-0900
450274,JC-6200,SJ-0500,0,SJ-0500
450326,SM-3400,RV-0100,0,
450339,PH-0500,BM-2000,0,JC-6000
450396,RG-2200,AE-0600,0,AE-0600
450491,MS-0100,MS-0100,0,
450497,KW-2100,JC-4100,0,LJ-0800
450541,MS-0100,MS-0100,0,
450552,MS-0100,DW-4700,0,CA-1300
450567,BE-0200,LD-0400,0,LD-0400
450616,MS-4100,JB-3300,0,
450663,DB-3800,DB-3800,0,
450682,JS-6700,AB-3300,0,JV-0500
450839,DR-0800,DR-0800,0,
450852,CH-2400,CH-2400,0,
450882,SK-0600,SK-0600,0,
450904,BM-0300,BM-0300,0,BA-1500
450985,CH-2400,CH-2400,0,
451035,RM-1200,GQ-0100,0,BP-0900
451110,MS-0200,EW-1500,0,DS-4800
451153,KR-0500,,0,GC-0200
451222,PH-0400,MA-0100,30,OS-0400
451323,KB-1500,DH-2000,0,AC-2900
451349,LW-0500,JG-1900,22,TB-0900
451409,CW-1900,CW-1900,0,
451470,JJ-0600,JJ-0600,0,
451512,DP-0600,,0,
451548,EB-1900,OS-0300,0,
451690,DM-1600,WG-0600,0,DJ-1600
451691,TJ-2700,CW-2000,0,MH-3700
451698,JC-0500,JC-0500,0,
451733,JA-2000,HE-0200,0,RC-0800
451795,NM-0600,VT-0300,0,
451848,JJ-4200,JN-0900,0,BC-1200
451888,TW-2700,,0,
451900,BM-0900,NC-0700,26,JB-8100
451920,JK-1500,FJ-0300,0,CW-3700
451934,JK-1500,FJ-0300,0,DB-2200
451971,DB-5300,JB-8100,0,
451988,BS-1400,JW-6500,0,ES-0200
452030,HW-0100,RW-3100,0,LH-0300
452048,MW-0500,,0,LH-0300
452130,CP-0500,RK-0200,0,LW-1600
452202,LW-0700,CW-3400,0,BF-0400
452309,TH-2700,,0,
452341,FJ-0100,FJ-0100,0,AP-0200
452367,FJ-0100,DL-1200,0,LJ-0200
452374,CJ-1100,JB-3300,0,DE-0500
452377,LM-1100,,0,
452563,BF-0100,TH-0600,0,HM-0100
452674,PH-0500,DH-1400,0,DH-1400
452811,CS-4200,AC-2400,0,DC-2900
452870,CB-1400,AJ-1100,0,KC-2200
452989,JG-3700,MN-0500,0,DF-1900
453001,BS-0800,CC-2500,0,KD-0100
453101,VY-0100,RS-2800,0,YB-0100
453157,RW-2600,RW-2600,0,CH-3800
453167,MG-1000,SJ-0700,0,GM-0500
453210,EM-0100,DR-3200,0,
453249,JF-3100,JA-1700,2,
453441,MS-0200,MS-0200,0,
453463,DK-0300,DK-0300,0,DA-1100
453480,JD-2700,JD-3300,0,SC-1300
453548,JC-2300,JC-2300,0,KV-0400
453550,MC-0700,JH-6100,75,MH-0200
453598,DB-3200,DB-3200,0,RH-2200
453716,AB-2600,DC-0200,0,MJ-0900
453816,RS-0800,AS-3100,0,
453858,LS-1700,,0,
453949,DA-1300,CC-2600,0,AC-2900
454052,SB-1100,BB-0500,0,PW-1200
454104,TS-2600,AS-2700,0,JH-0300
454386,JC-0300,JC-0300,0,
454455,DM-2200,DM-2200,0,
454487,JC-0300,JC-0300,0,MS-0800
454530,DJ-0200,OS-0300,0,PB-0800
454554,TT-0900,BH-0800,0,
454574,JC-6200,CW-2700,0,CW-0100
454633,RI-0100,TT-0900,0,
454797,CB-1400,DF-1200,27,MS-5500
454877,RW-3200,,0,AS-1900
454937,FJ-0300,DL-1200,0,KV-0100
454965,JF-1000,JH-2800,0,SL-0500
455151,AF-0900,JL-1200,-1,MD-0300
455170,SG-1300,KB-1000,8,BC-3100
455274,JC-0500,JC-0500,0,JH-2100
455276,LM-1800,LT-0400,0,IT-0100
455283,JC-0500,CC-0600,0,LW-1600
455358,RM-3900,QG-0400,0,TB-2400
455379,MG-1000,MG-1000,0,
455428,JF-1900,TB-2600,1,
455434,TH-1100,,0,CG-1400
455447,AB-2000,RM-0800,0,JB-2000
455458,MG-1000,MG-1000,0,JJ-2700
455491,JF-1900,MB-2400,0,EB-1800
455609,CS-2600,CS-2600,0,
455622,MJ-2500,AE-0600,18,AE-0600
455640,JH-0100,CG-1300,0,KO-0800
455649,DG-0600,CG-1300,0,RV-0100
455684,TU-0200,TU-0200,0,
455705,VY-0100,PB-0800,0,LA-0200
455717,SM-3600,,0,CF-0500
455801,DM-2200,DM-2200,0,
456079,TG-0600,AH-1800,0,CW-3700
456182,JS-7200,BF-0100,0,
456301,ML-2500,RH-0700,0,RH-0700
456322,ML-2500,SS-1100,0,SS-1100
456537,JM-6300,AH-2400,0,GH-0700
456707,TB-2300,WW-0200,0,
456880,WB-0700,TT-1000,0,
456882,AB-2600,AS-0100,1,BG-1200
456909,EH-0800,CH-1200,0,DT-1700
456943,MV-0300,BC-1700,0,JT-3800
456954,MV-0300,MV-0300,0,BC-1700
456958,HN-0500,RS-0800,0,TL-0600
456973,AS-0100,RS-0800,0,AB-2600
456977,EM-0200,DT-0100,0,
457077,MT-1300,NH-0200,0,BD-0700
457330,WS-0800,TP-2000,0,DB-5300
457338,AG-1900,JK-1500,0,
457356,DB-5300,DB-5300,0,
457374,AG-1900,JK-1500,0,
457422,RB-4900,LW-1300,0,JH-4800
457441,FJ-0300,FJ-0300,0,SE-0300
457442,JK-1500,MB-1800,0,WS-0800
457449,MM-1900,TP-2000,2,
