pid,punter,pgro,pnet,ptb,pr,pry,pfc
144442,BM-0700,42,42,0,BE-0600,0,1
144449,TR-0900,52,52,0,RM-3400,0,0
144453,BM-0700,39,39,0,,0,0
144532,SL-0100,33,33,0,AH-1000,0,0
144543,JB-3500,33,22,0,DG-3000,11,0
144569,SL-0100,48,46,0,AC-1300,2,0
144614,SL-0100,45,25,1,,0,0
144621,JB-3500,51,37,0,DG-3000,14,0
144638,JB-3500,53,33,1,,0,0
144648,SL-0100,47,27,1,,0,0
144652,JB-3500,46,40,0,DG-3000,6,0
144683,JB-0500,46,26,1,,0,0
144688,SL-0400,46,46,0,,0,0
144695,JB-0500,53,53,0,,0,0
144699,SL-0400,34,34,0,,0,0
144721,JB-0500,34,34,0,PB-0800,0,1
144729,SL-0400,44,37,0,DH-0600,7,0
144733,JB-0500,40,29,0,PB-0800,11,0
144755,SL-0400,47,39,0,DH-0600,8,0
144769,SL-0400,26,26,0,DH-0600,0,1
144783,SL-0400,71,51,1,,0,0
144798,JB-0500,26,26,0,PB-0800,0,1
144816,JB-0500,39,39,0,PB-0800,0,0
144834,JB-0500,49,49,0,,0,0
144851,SP-1400,36,28,0,JW-4600,8,0
144894,BL-0200,37,37,0,AB-2000,0,1
144899,SP-1400,50,36,0,JW-4600,14,0
144907,BL-0200,35,35,0,,0,0
144923,BL-0200,29,29,0,,0,0
144934,BL-0200,-13,-13,0,,0,0
144943,BL-0200,35,35,0,,0,0
144950,SP-1400,30,30,0,,0,0
144981,SP-1400,27,27,0,,0,0
145015,MK-1100,35,35,0,,0,0
145035,DZ-0100,55,43,0,RS-2100,12,0
145060,MK-1100,32,32,0,,0,0
145073,MK-1100,32,22,0,DW-0800,10,0
145092,DZ-0100,39,39,0,RS-2100,0,1
145115,DZ-0100,33,33,0,,0,0
145120,MK-1100,56,40,0,DW-0800,16,0
145128,DZ-0100,30,30,0,,0,0
145147,MK-1100,35,35,0,DW-0800,0,0
145151,DZ-0100,49,42,0,RS-2100,7,0
145181,NH-0700,43,17,0,RM-3400,26,0
145187,BM-0700,49,29,1,,0,0
145200,NH-0700,41,41,0,,0,0
145211,BM-0700,53,46,0,RS-3500,7,0
145220,NH-0700,51,31,1,,0,0
145226,BM-0700,53,22,0,RS-3500,31,0
145238,NH-0700,45,36,0,RM-3400,9,0
145242,BM-0700,45,45,0,,0,0
145248,NH-0700,48,32,0,RM-3400,16,0
145268,BM-0700,30,30,0,,0,0
145274,NH-0700,36,21,0,RM-3400,15,0
145292,BM-0700,52,46,0,DB-2800,6,0
145296,NH-0700,44,38,0,RM-3400,6,0
145328,BM-0700,36,35,0,RS-3500,1,0
145365,TR-0900,49,49,0,PW-0400,0,0
145369,KR-0700,49,41,0,BE-0600,8,0
145401,KR-0700,32,32,0,BE-0600,0,1
145426,KR-0700,25,25,0,BE-0600,0,1
145466,TR-0900,32,32,0,,0,0
145472,KR-0700,33,21,0,BE-0600,12,0
145497,KR-0700,39,19,1,,0,0
145508,KR-0700,48,48,0,BE-0600,0,0
145519,CS-3700,32,32,0,BP-1400,0,1
145524,HS-0200,52,40,0,JM-6500,12,0
145528,CS-3700,38,38,0,BP-1400,0,1
145546,CS-3700,43,43,0,BP-1400,0,0
145554,HS-0200,51,52,0,JM-6500,-1,0
145598,CS-3700,43,43,0,BP-1400,0,1
145644,CS-3700,49,49,0,BP-1400,0,1
145651,HS-0200,26,26,0,,0,0
145671,MR-2100,51,40,0,JM-2200,11,0
145697,CH-2900,58,39,0,DA-0800,19,0
145713,MR-2100,47,47,0,,0,0
145718,CH-2900,43,43,0,,0,0
145743,MR-2100,43,43,0,JM-2200,0,0
145747,CH-2900,48,36,0,DA-0800,12,0
145839,EJ-0600,45,43,0,BM-3300,2,0
145904,EJ-0600,44,44,0,BM-3300,0,1
145910,JF-0800,49,38,0,KH-2500,11,0
145925,JF-0800,42,42,0,KH-2500,0,1
145937,EJ-0600,26,26,0,BM-3300,0,1
145941,JF-0800,-7,13,0,,0,0
145947,JF-0800,53,46,0,KH-2500,7,0
145954,EJ-0600,32,12,1,,0,0
145992,CG-0300,46,36,0,TB-3300,10,0
146002,CG-0300,36,36,0,,0,0
146008,KW-0200,48,28,1,,0,0
146012,CG-0300,46,38,0,TB-3300,8,0
146020,KW-0200,31,31,0,,0,0
146028,CG-0300,43,43,0,TB-3300,0,1
146036,KW-0200,43,44,0,DN-1400,-1,0
146043,CG-0300,47,35,0,TB-3300,12,0
146077,KW-0200,30,30,0,,0,0
146084,CG-0300,39,39,0,,0,0
146104,CG-0300,34,29,0,TB-3300,5,0
146113,KW-0200,50,50,0,,0,0
146120,CG-0300,60,51,0,TB-3300,9,0
146147,MB-2100,52,52,0,,0,0
146157,TS-0500,44,44,0,,0,0
146161,MB-2100,35,35,0,,0,0
146172,MB-2100,46,38,0,SS-2100,8,0
146176,TS-0500,33,33,0,ML-1700,0,1
146209,TS-0500,56,30,0,ML-1700,26,0
146224,TS-0500,-8,-8,0,,0,0
146245,MB-2100,38,38,0,SS-2100,0,0
146249,TS-0500,32,32,0,,0,0
146259,TS-0500,58,39,0,ML-1700,19,0
146265,MB-2100,33,33,0,SS-2100,0,1
146273,TS-0500,46,46,0,,0,0
146279,MB-2100,50,31,0,SS-2100,19,0
146364,DS-4900,-7,-7,0,,0,0
146368,DJ-1700,43,43,0,SM-3600,0,1
146383,DJ-1700,17,17,0,,0,0
146400,DS-4900,34,34,0,JT-2800,0,1
146465,SL-0100,47,41,0,AR-0200,6,0
146469,JM-4700,41,41,0,,0,0
146491,JM-4700,41,37,0,DG-3000,4,0
146498,SL-0100,55,-29,0,AR-0200,84,0
146505,SL-0100,47,45,0,AR-0200,2,0
146510,JM-4700,37,37,0,,0,0
146548,JM-4700,49,54,0,DG-3000,-5,0
146585,JM-4700,40,31,0,DG-3000,9,0
146590,SL-0100,28,28,0,AR-0200,0,1
146594,JM-4700,50,50,0,DG-3000,0,0
146616,SL-0100,44,44,0,AR-0200,0,0
146626,SL-0100,31,31,0,,0,0
146636,TG-1500,33,33,0,,0,0
146640,TT-1700,42,30,0,JG-0500,12,0
146646,TG-1500,31,31,0,KW-1100,0,1
146650,TT-1700,44,44,0,,0,0
146663,TT-1700,47,47,0,,0,0
146679,TG-1500,51,43,0,TW-0500,8,0
146697,TG-1500,54,34,1,,0,0
146710,TT-1700,45,38,0,JG-0500,7,0
146727,TG-1500,39,39,0,,0,0
146747,TT-1700,22,22,0,JG-0500,0,1
146751,TG-1500,36,36,0,KW-1100,0,1
146781,BM-3600,37,37,0,DH-0600,0,1
146785,JB-0500,-13,-13,0,,0,0
146794,BM-3600,53,33,1,,0,0
146804,BM-3600,36,36,0,,0,0
146808,JB-0500,35,35,0,,0,0
146866,JB-0500,39,39,0,AB-3550,0,0
146876,JB-0500,34,34,0,AB-3550,0,1
146897,JB-0500,39,39,0,AW-1800,0,0
146910,JB-0500,28,28,0,,0,0
146934,JB-0500,47,47,0,AB-3550,0,1
146982,DB-1500,51,39,0,SS-1500,12,0
146987,MT-2300,35,34,0,EP-0100,1,0
147034,MT-2300,32,32,0,EP-0100,0,1
147039,DB-1500,37,37,0,SS-1500,0,1
147044,MT-2300,47,44,0,EP-0100,3,0
147069,MT-2300,24,24,0,,0,0
147089,DB-1500,42,42,0,,0,0
147101,KR-0700,35,27,0,AB-2000,8,0
147117,KR-0700,45,43,0,AB-2000,2,0
147135,SP-1400,51,36,0,PW-0400,15,0
147147,SP-1400,62,62,0,,0,0
147152,KR-0700,37,29,0,AB-2000,8,0
147167,KR-0700,40,36,0,AB-2000,4,0
147172,SP-1400,44,24,1,,0,0
147200,SP-1400,52,32,1,,0,0
147205,KR-0700,52,52,0,,0,0
147225,KR-0700,54,34,1,,0,0
147235,SP-1400,33,33,0,,0,0
147245,SP-1400,29,29,0,PW-0400,0,1
147298,DJ-1700,49,49,0,,0,0
147319,DJ-1700,54,-18,0,AR-1700,72,0
147348,CM-2600,49,34,0,RM-0200,15,0
147363,CM-2600,53,43,0,RM-0200,10,0
147373,CM-2600,40,40,0,RM-0200,0,1
147377,DJ-1700,33,33,0,,0,0
147383,CM-2600,30,30,0,RM-0200,0,1
147408,DJ-1700,43,38,0,AR-1700,5,0
147413,CM-2600,45,45,0,RM-0200,0,1
147419,DJ-1700,52,16,0,AR-1700,36,0
147431,MR-2100,51,52,0,LB-1000,-1,0
147436,DZ-0100,53,45,0,DA-0800,8,0
147440,MR-2100,46,37,0,LB-1000,9,0
147444,DZ-0100,36,36,0,DA-0800,0,1
147481,MR-2100,42,42,0,LB-1000,0,0
147485,DZ-0100,44,44,0,DA-0800,0,1
147489,MR-2100,43,43,0,,0,0
147495,MR-2100,43,31,0,LB-1000,12,0
147507,MR-2100,45,34,0,LB-1000,11,0
147511,DZ-0100,44,47,0,DA-0800,-3,0
147520,MR-2100,39,19,1,,0,0
147573,DZ-0100,57,37,1,,0,0
147591,DB-1500,36,33,0,RM-3400,3,0
147634,BM-0700,42,36,0,EP-0100,6,0
147638,DB-1500,51,47,0,RM-3400,4,0
147644,BM-0700,34,35,0,EP-0100,-1,0
147649,DB-1500,48,48,0,RM-3400,0,0
147660,BM-0700,34,34,0,TD-2500,0,1
147665,DB-1500,46,30,0,RM-3400,16,0
147679,DB-1500,36,36,0,RM-3400,0,1
147705,BM-0700,41,41,0,,0,0
147712,DB-1500,40,4,0,RM-3400,36,0
147730,BB-0800,46,40,0,JG-0500,6,0
147736,BB-0800,52,49,0,JG-0500,3,0
147747,TG-1500,37,37,0,,0,0
147753,BB-0800,50,50,0,,0,0
147765,TG-1500,45,25,1,,0,0
147772,BB-0800,36,36,0,,0,0
147792,BB-0800,43,28,0,JG-0500,15,0
147803,BB-0800,46,29,0,JG-0500,17,0
147811,TG-1500,59,39,1,,0,0
147820,BB-0800,54,18,0,JG-0500,36,0
147840,BB-0800,36,36,0,JG-0500,0,1
147869,TG-1500,33,27,0,PJ-0300,6,0
147906,NH-0700,38,4,0,PB-0800,34,0
147924,SL-0400,55,40,0,RS-3500,15,0
147932,NH-0700,47,27,1,,0,0
147937,SL-0400,59,37,0,RS-3500,22,0
147947,SL-0400,41,35,0,RS-3500,6,0
147952,NH-0700,46,45,0,PB-0800,1,0
148009,SL-0400,44,44,0,RS-3500,0,0
148032,NH-0700,38,18,1,,0,0
148061,CS-3700,46,39,0,SS-2100,7,0
148077,CS-3700,55,55,0,,0,0
148088,TS-0500,44,24,1,,0,0
148096,CS-3700,43,43,0,SS-2100,0,1
148102,TS-0500,57,37,1,,0,0
148161,TS-0500,46,26,1,,0,0
148179,MT-2300,43,32,0,BP-1400,11,0
148183,HS-0200,47,47,0,SS-1500,0,1
148187,MT-2300,49,41,0,TW-0400,8,0
148193,HS-0200,46,46,0,SS-1500,0,1
148201,MT-2300,46,46,0,TW-0400,0,1
148218,HS-0200,51,31,0,SS-1500,20,0
148232,MT-2300,39,39,0,,0,0
148251,MT-2300,50,39,0,TW-0400,11,0
148282,HS-0200,48,44,0,SS-1500,4,0
148288,MT-2300,40,40,0,,0,0
148310,MT-2300,50,24,0,TW-0400,26,0
148338,JF-0800,38,31,0,SM-3600,7,0
148357,JF-0800,49,29,1,,0,0
