pid,fgxp,fkicker,dist,good
100635,FG,JW-3300,31,1
100638,XP,RL-0900,20,1
100662,FG,JW-3300,45,1
100664,XP,RL-0900,20,1
100690,XP,JW-3300,20,1
100698,FG,JW-3300,47,1
100712,XP,JW-3300,20,1
100725,XP,JW-3300,20,1
100761,XP,TP-1200,20,1
100783,XP,TP-1200,20,1
100794,FG,MV-0100,48,0
100803,XP,TP-1200,20,1
100815,FG,MV-0100,41,1
100838,XP,MV-0100,20,1
100855,XP,TP-1200,20,1
100899,FG,TP-1200,48,0
100912,XP,TP-1200,20,1
100937,XP,TP-1200,20,1
100942,XP,TP-1200,20,1
100955,FG,MS-5200,28,1
100967,XP,TP-1200,20,1
101020,FG,TP-1200,34,1
101041,XP,MS-5200,20,1
101102,XP,MH-3100,20,1
101132,XP,JH-0900,20,1
101139,XP,JH-0900,20,1
101148,XP,MH-3100,20,1
101168,FG,MH-3100,33,1
101189,XP,MH-3100,20,1
101231,FG,JH-0900,35,1
101261,FG,MG-1200,32,1
101289,FG,SG-1100,20,1
101329,FG,SG-1100,47,1
101345,FG,SG-1100,39,1
101363,FG,MG-1200,52,1
101384,FG,MG-1200,53,1
101398,FG,MG-1200,47,1
101411,XP,NR-0100,20,1
101440,XP,NR-0100,20,1
101460,FG,JN-0600,33,1
101476,FG,JN-0600,28,1
101486,XP,JN-0600,20,1
101500,XP,JN-0600,20,1
101508,FG,NR-0100,44,1
101523,XP,NR-0100,20,1
101532,XP,JN-0600,20,1
101538,FG,JN-0600,46,1
101628,XP,RL-0900,20,1
101664,XP,BC-3000,20,1
101677,XP,RL-0900,20,1
101689,XP,BC-3000,20,1
101704,FG,RL-0900,20,1
101737,FG,TS-1100,50,0
101742,FG,KB-2300,45,0
101750,XP,TS-1100,20,1
101765,XP,KB-2300,20,1
101797,FG,TS-1100,35,0
101804,FG,KB-2300,43,1
101817,FG,TS-1100,34,1
101848,XP,TS-1100,20,1
101864,FG,KB-2300,45,1
101885,FG,SJ-0300,44,0
101898,FG,MA-0700,46,1
101911,XP,SJ-0300,20,1
101945,FG,MA-0700,22,1
101987,XP,MA-0700,20,1
102001,FG,SJ-0300,32,1
102028,XP,MA-0700,20,1
102084,FG,GA-0300,44,1
102104,XP,GA-0300,20,1
102114,FG,GA-0300,24,1
102126,XP,GA-0300,20,1
102149,FG,GA-0300,24,1
102156,XP,PE-0100,20,1
102211,XP,JE-0200,20,1
102236,XP,JE-0200,20,1
102255,XP,AV-0400,20,1
102266,XP,JE-0200,20,1
102285,FG,JE-0200,48,0
102294,FG,AV-0400,26,1
102326,FG,JE-0200,19,1
102340,FG,JE-0200,39,0
102364,FG,JC-0900,40,1
102382,XP,JC-0900,20,1
102396,XP,JF-0900,20,1
102415,XP,JF-0900,20,1
102437,XP,JF-0900,20,1
102453,FG,JF-0900,31,1
102460,XP,JC-0900,20,1
102469,FG,JF-0900,32,1
102488,XP,JF-0900,20,1
102502,FG,JC-0900,40,1
102509,XP,JC-0900,20,1
102522,FG,JF-0900,47,1
102528,XP,JH-0500,20,1
102541,FG,PD-0200,23,1
102548,XP,JH-0500,20,1
102562,XP,JH-0500,20,1
102577,FG,PD-0200,26,1
102627,XP,PD-0200,20,1
102666,FG,PD-0200,35,1
102679,FG,JH-0500,44,0
102687,FG,JC-5000,45,1
102702,XP,JC-5000,20,1
102711,XP,JC-5000,20,1
102725,XP,JC-5000,20,1
102736,XP,BG-1300,20,1
102761,XP,JC-5000,20,1
102775,XP,BG-1300,20,1
102793,XP,BG-1300,20,1
102802,XP,JC-5000,20,1
102817,XP,BG-1300,20,1
102855,FG,JT-4400,40,1
102871,XP,JT-4400,20,1
102890,XP,JT-4400,20,1
102903,FG,JT-4400,23,1
102919,XP,MV-0100,20,1
102926,FG,JT-4400,41,1
103002,FG,JT-4400,22,1
103015,FG,DA-0300,50,0
103040,FG,DA-0300,27,1
103052,FG,MB-4600,26,1
103070,FG,DA-0300,36,1
103085,FG,DA-0300,35,1
103177,XP,JW-3300,20,1
103192,FG,JW-3300,47,0
103203,FG,JW-3300,24,1
103226,XP,BG-1300,20,1
103236,XP,JW-3300,20,1
103291,XP,BG-1300,20,1
103303,FG,JW-3300,42,1
103314,XP,JW-3300,20,1
103337,FG,MS-5200,32,1
103352,FG,JF-0900,23,1
103367,XP,JF-0900,20,1
103383,XP,JF-0900,20,1
103395,XP,MS-5200,20,1
103407,XP,MS-5200,20,1
103428,FG,JF-0900,40,1
103483,XP,AV-0400,20,1
