GameID,Season,Week,Visiting,Home,OverUnder,Spread,VisitingPoints,HomePoints
195,2000,14,DEN,NO,45,1,38,23
196,2000,14,IND,NYJ,44,2,17,27
197,2000,14,TEN,PHI,35.5,-3,15,13
198,2000,14,OAK,PIT,42.5,-3,20,21
199,2000,14,SF,SD,43.5,-3,45,17
200,2000,14,DAL,TB,37,10.5,7,27
201,2000,14,NYG,WAS,36.5,6,9,7
202,2000,14,GB,CHI,39.5,-2.5,28,6
203,2000,14,KC,NE,40,0,24,30
204,2000,15,SD,BAL,35.5,15,3,24
205,2000,15,NE,CHI,36,2,17,24
206,2000,15,PHI,CLE,34,-14,35,24
207,2000,15,WAS,DAL,39,-6.5,13,32
208,2000,15,SEA,DEN,45,10.5,24,31
209,2000,15,DET,GB,39,4,13,26
210,2000,15,ARI,JAC,42.5,17,10,44
211,2000,15,CAR,KC,41,2.5,14,15
212,2000,15,TB,MIA,34,3,16,13
213,2000,15,PIT,NYG,35,3.5,10,30
214,2000,15,NO,SF,47,3,31,27
215,2000,15,MIN,STL,58.5,3.5,29,40
216,2000,15,CIN,TEN,36,13,3,35
217,2000,15,NYJ,OAK,46.5,3.5,7,31
218,2000,15,BUF,IND,47.5,7,20,44
219,2000,16,WAS,PIT,37,2,3,24
220,2000,16,OAK,SEA,45.5,-7,24,27
221,2000,16,BAL,ARI,37.5,-16.5,13,7
222,2000,16,NE,BUF,36.5,4.5,13,10
223,2000,16,SD,CAR,37.5,7.5,22,30
224,2000,16,JAC,CIN,41,-10,14,17
225,2000,16,TEN,CLE,36,-16,24,0
226,2000,16,DEN,KC,47,-3,7,20
227,2000,16,IND,MIA,42,3,20,13
228,2000,16,GB,MIN,49.5,8.5,33,28
229,2000,16,ATL,NO,40,10,7,23
230,2000,16,DET,NYJ,36,6.5,10,7
231,2000,16,CHI,SF,46,7,0,17
232,2000,16,NYG,DAL,36,-7,17,13
233,2000,16,STL,TB,47.5,-2.5,35,38
234,2000,17,SF,DEN,52,7,9,38
235,2000,17,JAC,NYG,38,3.5,25,28
236,2000,17,BUF,SEA,43,3,42,23
237,2000,17,KC,ATL,41,-4.5,13,29
238,2000,17,NYJ,BAL,34.5,5.5,20,34
239,2000,17,CHI,DET,37,9,23,20
240,2000,17,TB,GB,36,3,14,17
241,2000,17,MIN,IND,51.5,6.5,10,31
242,2000,17,MIA,NE,34,-4,27,24
243,2000,17,STL,NO,56.5,-4,26,21
244,2000,17,CAR,OAK,45,10.5,9,52
245,2000,17,CIN,PHI,36.5,10.5,7,16
246,2000,17,PIT,SD,37.5,-4,34,21
247,2000,17,ARI,WAS,38.5,7,3,20
248,2000,17,DAL,TEN,38,14,0,31
249,2000,18,IND,MIA,41.5,-1.5,17,23
250,2000,18,STL,NO,55,-7,28,31
251,2000,18,DEN,BAL,39,3,3,21
252,2000,18,TB,PHI,33,-3,3,21
253,2000,19,NO,MIN,50,8,16,34
254,2000,19,MIA,OAK,42,9,0,27
255,2000,19,PHI,NYG,34,5,10,20
256,2000,19,BAL,TEN,33,6,24,10
257,2000,20,MIN,NYG,43,-3,0,41
258,2000,20,BAL,OAK,36.5,6.5,16,3
259,2000,21,BAL,NYG,33.5,-3,34,7
260,2001,1,CHI,BAL,33.5,9.5,6,17
261,2001,1,NO,BUF,37.5,-3,24,6
262,2001,1,NE,CIN,35.5,1,17,23
263,2001,1,SEA,CLE,38,-3,9,6
264,2001,1,TB,DAL,33.5,-9.5,10,6
265,2001,1,DET,GB,41.5,6.5,6,28
266,2001,1,PIT,JAC,37.5,3,3,21
267,2001,1,OAK,KC,44,-3,27,24
268,2001,1,CAR,MIN,45.5,10.5,24,13
269,2001,1,IND,NYJ,44.5,-2.5,45,24
270,2001,1,STL,PHI,46,-3,20,17
271,2001,1,WAS,SD,36,3,3,30
272,2001,1,ATL,SF,46.5,3.5,13,16
273,2001,1,MIA,TEN,33.5,6,31,23
274,2001,1,NYG,DEN,44,7,20,31
275,2001,2,CAR,ATL,40,3.5,16,24
276,2001,2,MIN,CHI,43,-3.5,10,17
277,2001,2,BAL,CIN,33.5,-7,10,21
278,2001,2,DET,CLE,33.5,-1,14,24
279,2001,2,SD,DAL,33,-4,32,21
280,2001,2,BUF,IND,45,10,26,42
281,2001,2,TEN,JAC,37,3,6,13
282,2001,2,NYG,KC,39,-1,13,3
283,2001,2,OAK,MIA,39.5,1,15,18
284,2001,2,NYJ,NE,39.5,-2,10,3
285,2001,2,STL,SF,49.5,-6.5,30,26
286,2001,2,PHI,SEA,37,-2.5,27,3
287,2001,2,DEN,ARI,46,-9,38,17
288,2001,2,WAS,GB,41,10,0,37
289,2001,3,ATL,ARI,41.5,-3,34,14
290,2001,3,PIT,BUF,35,-3,20,3
291,2001,3,GB,CAR,42,-4,28,7
292,2001,3,BAL,DEN,42,5.5,20,13
293,2001,3,CLE,JAC,34.5,8.5,23,14
294,2001,3,TB,MIN,38.5,-2,16,20
295,2001,3,IND,NE,44,-13,13,44
296,2001,3,NO,NYG,35,3,13,21
297,2001,3,SEA,OAK,39,10.5,14,38
298,2001,3,CIN,SD,40,6,14,28
299,2001,3,MIA,STL,43,6,10,42
300,2001,3,KC,WAS,34.5,-3,45,13
301,2001,3,DAL,PHI,35,14,18,40
302,2001,3,SF,NYJ,47,3,19,17
303,2001,4,CHI,ATL,39.5,3,31,3
304,2001,4,TEN,BAL,33,3.5,7,26
305,2001,4,NYJ,BUF,35.5,4,42,36
306,2001,4,SD,CLE,35.5,-3.5,16,20
307,2001,4,KC,DEN,48,10,6,20
308,2001,4,NE,MIA,35,8.5,10,30
309,2001,4,MIN,NO,44,4,15,28
310,2001,4,WAS,NYG,36,14,9,23
311,2001,4,DAL,OAK,41.5,17,21,28
312,2001,4,ARI,PHI,41.5,14,21,20
313,2001,4,CIN,PIT,35,4,7,16
314,2001,4,JAC,SEA,35,3,15,24
315,2001,4,GB,TB,36,2.5,10,14
316,2001,4,CAR,SF,45,7,14,24
317,2001,4,STL,DET,50,-14,35,0
318,2001,5,SF,ATL,43.5,-3.5,37,31
319,2001,5,NO,CAR,39,-6,27,25
320,2001,5,ARI,CHI,39.5,7.5,13,20
321,2001,5,CLE,CIN,35,2,14,24
322,2001,5,BAL,GB,34,-1,23,31
323,2001,5,PIT,KC,35.5,3,20,17
324,2001,5,DET,MIN,44.5,10.5,26,31
325,2001,5,SD,NE,35.5,-3,26,29
326,2001,5,MIA,NYJ,39,-3,17,21
327,2001,5,DEN,SEA,42.5,-6,21,34
328,2001,5,NYG,STL,46,12,14,15
329,2001,5,TB,TEN,33,3,28,31
330,2001,5,OAK,IND,52.5,3.5,23,18
331,2001,5,WAS,DAL,37.5,3,7,9
332,2001,6,BUF,JAC,39.5,8.5,13,10
333,2001,6,KC,ARI,42,-2.5,16,24
334,2001,6,CHI,CIN,35,1.5,24,0
335,2001,6,BAL,CLE,32.5,-7.5,14,24
336,2001,6,TEN,DET,40,-4.5,27,24
337,2001,6,NE,IND,47,10,38,17
338,2001,6,GB,MIN,47.5,-3.5,13,35
339,2001,6,ATL,NO,42,7,20,13
340,2001,6,STL,NYJ,47,-7,34,14
341,2001,6,DEN,SD,44.5,-3,10,27
342,2001,6,PIT,TB,32.5,5,17,10
343,2001,6,CAR,WAS,35,-3,14,17
344,2001,6,PHI,NYG,36.5,3,10,9
345,2001,7,IND,KC,46.5,-3,35,28
346,2001,7,JAC,BAL,33,7.5,17,18
347,2001,7,NYJ,CAR,39,-3,13,12
348,2001,7,SF,CHI,37.5,2,31,37
349,2001,7,ARI,DAL,37.5,-2.5,3,17
350,2001,7,NE,DEN,43,7,20,31
351,2001,7,CIN,DET,39,3,31,27
352,2001,7,OAK,PHI,38,0,20,10
353,2001,7,BUF,SD,39,7,24,27
354,2001,7,MIA,SEA,36,-2.5,24,20
355,2001,7,NO,STL,47.5,10.5,34,31
356,2001,7,MIN,TB,38.5,3,14,41
357,2001,7,NYG,WAS,34.5,-8,21,35
358,2001,7,TEN,PIT,35.5,2.5,7,34
359,2001,8,PHI,ARI,39.5,-6.5,21,7
360,2001,8,NE,ATL,42,3,24,10
361,2001,8,IND,BUF,45.5,-3,30,14
362,2001,8,CLE,CHI,34,4,21,27
363,2001,8,TB,GB,37.5,6,20,21
364,2001,8,CAR,MIA,33,9,6,23
365,2001,8,DAL,NYG,34,10,24,27
366,2001,8,BAL,PIT,33,1,13,10
367,2001,8,KC,SD,42,5.5,25,20
368,2001,8,DET,SF,47.5,8,13,21
369,2001,8,JAC,TEN,37.5,3,24,28
370,2001,8,SEA,WAS,37,-2.5,14,27
371,2001,8,NYJ,NO,42.5,6,16,9
372,2001,8,DEN,OAK,46,6,28,38
373,2001,9,NYG,ARI,37.5,-5.5,17,10
374,2001,9,DAL,ATL,37,4,13,20
375,2001,9,GB,CHI,38,-3,20,12
376,2001,9,PIT,CLE,33,-3,15,12
377,2001,9,SD,DEN,45.5,5.5,16,26
378,2001,9,TB,DET,40,-5,20,17
379,2001,9,MIA,IND,43.5,3,27,24
380,2001,9,CIN,JAC,39.5,4,13,30
381,2001,9,BUF,NE,39,6,11,21
382,2001,9,KC,NYJ,40,3.5,7,27
383,2001,9,MIN,PHI,40.5,4.5,17,48
384,2001,9,NO,SF,44.5,3,27,28
385,2001,9,CAR,STL,47,19.5,14,48
386,2001,9,OAK,SEA,43.5,-6,27,34
387,2001,9,BAL,TEN,36.5,-2.5,16,10
388,2001,10,DET,ARI,39.5,1.5,38,45
389,2001,10,CLE,BAL,33,8,27,17
390,2001,10,SEA,BUF,39,-3.5,23,20
391,2001,10,SF,CAR,43,-7,25,22
392,2001,10,TEN,CIN,39.5,1,20,7
393,2001,10,PHI,DAL,37,-7.5,36,3
394,2001,10,WAS,DEN,42,8.5,17,10
395,2001,10,ATL,GB,39.5,10.5,23,20
396,2001,10,NYJ,MIA,37.5,5,24,0
397,2001,10,IND,NO,48,6,20,34
398,2001,10,SD,OAK,45,8.5,24,34
399,2001,10,JAC,PIT,35,7.5,7,20
400,2001,10,CHI,TB,35,6,27,24
401,2001,10,STL,NE,47.5,-8,24,17
402,2001,10,NYG,MIN,45,2,16,28
403,2001,11,DEN,DAL,39.5,-7,26,24
404,2001,11,GB,DET,48,-6.5,29,27
405,2001,11,MIA,BUF,35.5,-4.5,34,27
406,2001,11,ATL,CAR,40,-3,10,7
407,2001,11,CIN,CLE,35,4,0,18
408,2001,11,SF,IND,53,2.5,40,21
409,2001,11,BAL,JAC,34,-3,24,21
410,2001,11,SEA,KC,40.5,2,7,19
411,2001,11,NO,NE,41,-1,17,34
412,2001,11,OAK,NYG,39.5,-3,28,10
413,2001,11,WAS,PHI,36,7,13,3
414,2001,11,ARI,SD,44.5,7,20,17
415,2001,11,PIT,TEN,34.5,2,34,24
416,2001,11,CHI,MIN,46,3,13,6
417,2001,11,TB,STL,47.5,10,24,17
418,2001,12,PHI,KC,37,-3,23,10
419,2001,12,STL,ATL,49.5,-7.5,35,6
420,2001,12,IND,BAL,43.5,6,27,39
421,2001,12,DET,CHI,38,7,10,13
422,2001,12,TB,CIN,35,-5,16,13
423,2001,12,TEN,CLE,36.5,-1,31,15
424,2001,12,DEN,MIA,39,3,10,21
425,2001,12,CAR,NO,40.5,10,23,27
426,2001,12,NE,NYJ,38,3,17,16
427,2001,12,ARI,OAK,43,11.5,34,31
428,2001,12,MIN,PIT,40,8.5,16,21
429,2001,12,SD,SEA,42,3,10,13
430,2001,12,DAL,WAS,35,8,20,14
431,2001,12,BUF,SF,44,8.5,0,35
432,2001,12,GB,JAC,44,-4,28,21
433,2001,13,WAS,ARI,39,1,20,10
434,2001,13,NO,ATL,40,-3,28,10
435,2001,13,CAR,BUF,36.5,3,24,25
436,2001,13,JAC,CIN,37,1,14,10
437,2001,13,NYG,DAL,35,-3.5,13,20
438,2001,13,CHI,GB,37,4.5,7,17
439,2001,13,TEN,MIN,42,-2,24,42
440,2001,13,CLE,NE,36,5.5,16,27
441,2001,13,KC,OAK,44.5,9,26,28
442,2001,13,SD,PHI,37,7,14,24
443,2001,13,NYJ,PIT,34.5,3.5,7,18
444,2001,13,SF,STL,55.5,7,14,27
445,2001,13,DET,TB,37,7.5,12,15
446,2001,13,SEA,DEN,40.5,6.5,7,20
447,2001,13,IND,MIA,46,4.5,6,41
448,2001,14,ARI,NYG,37,6,13,17
449,2001,14,OAK,SD,46.5,-3.5,13,6
